"filepath","filename","longitude","latitude","altitude","gps_date","img_date","parcelno","house_numb","street_nam","street_typ","zipcode","common_nam"
"/Volumes/KD/Vernor4/G0114090.JPG","G0114090.JPG",-83.0171855,42.3552189,157.131,"2017:06:23 21:00:58","2017:06:23 05:01:39","15013947.","2444","MT ELLIOTT",,"48207","E & S TRUCK RENTALS"
"/Volumes/KD/Vernor4/G0114091.JPG","G0114091.JPG",-83.0173475,42.3551601,156.16,"2017:06:23 21:01:00","2017:06:23 05:01:41","15013947.","2444","MT ELLIOTT",,"48207","E & S TRUCK RENTALS"
"/Volumes/KD/Vernor4/G0114044.JPG","G0114044.JPG",-83.0124349,42.3564932,155.823,"2017:06:23 20:59:26","2017:06:23 05:00:07","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114045.JPG","G0114045.JPG",-83.0125216,42.356454,156.36,"2017:06:23 20:59:28","2017:06:23 05:00:09","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114046.JPG","G0114046.JPG",-83.0125772,42.3564355,156.382,"2017:06:23 20:59:30","2017:06:23 05:00:11","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114047.JPG","G0114047.JPG",-83.0125984,42.3564245,156.32,"2017:06:23 20:59:32","2017:06:23 05:00:13","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114048.JPG","G0114048.JPG",-83.0126003,42.3564201,156,"2017:06:23 20:59:34","2017:06:23 05:00:15","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114049.JPG","G0114049.JPG",-83.0126019,42.3564181,155.613,"2017:06:23 20:59:36","2017:06:23 05:00:17","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114050.JPG","G0114050.JPG",-83.0126023,42.3564152,155.303,"2017:06:23 20:59:38","2017:06:23 05:00:19","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114051.JPG","G0114051.JPG",-83.0126104,42.3564115,155.309,"2017:06:23 20:59:40","2017:06:23 05:00:21","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114052.JPG","G0114052.JPG",-83.0126482,42.3563961,155.653,"2017:06:23 20:59:42","2017:06:23 05:00:23","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114053.JPG","G0114053.JPG",-83.0127112,42.3563718,154.963,"2017:06:23 20:59:44","2017:06:23 05:00:25","15011719.","6651","VERNOR",,"48207",
"/Volumes/KD/Vernor4/G0114020.JPG","G0114020.JPG",-83.0096723,42.357495,149.369,"2017:06:23 20:58:38","2017:06:23 04:59:19","15008741.","2404","HELEN",,"48207",
"/Volumes/KD/Vernor4/G0114021.JPG","G0114021.JPG",-83.0097928,42.3574478,150.173,"2017:06:23 20:58:40","2017:06:23 04:59:21","15008741.","2404","HELEN",,"48207",
"/Volumes/KD/Vernor4/G0114022.JPG","G0114022.JPG",-83.0099123,42.357405,150.859,"2017:06:23 20:58:42","2017:06:23 04:59:23","15008741.","2404","HELEN",,"48207",
"/Volumes/KD/Vernor4/G0114023.JPG","G0114023.JPG",-83.0100264,42.3573604,151.286,"2017:06:23 20:58:44","2017:06:23 04:59:25","15008741.","2404","HELEN",,"48207",
"/Volumes/KD/Vernor4/G0114024.JPG","G0114024.JPG",-83.0101207,42.3573276,150.958,"2017:06:23 20:58:46","2017:06:23 04:59:27","15008741.","2404","HELEN",,"48207",
"/Volumes/KD/Vernor4/G0114041.JPG","G0114041.JPG",-83.0121172,42.3566189,155.672,"2017:06:23 20:59:20","2017:06:23 05:00:01","15011718.","2407","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114042.JPG","G0114042.JPG",-83.0122285,42.3565768,155.419,"2017:06:23 20:59:22","2017:06:23 05:00:03","15011718.","2407","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114043.JPG","G0114043.JPG",-83.012341,42.3565355,155.563,"2017:06:23 20:59:24","2017:06:23 05:00:05","15011718.","2407","CONCORD",,"48207",
"/Volumes/KD/Vernor4/G0114033.JPG","G0114033.JPG",-83.0111383,42.3569446,155.237,"2017:06:23 20:59:04","2017:06:23 04:59:45","15010512.","2401","CANTON",,"48207",
"/Volumes/KD/Vernor4/G0114034.JPG","G0114034.JPG",-83.0112708,42.3569085,155.069,"2017:06:23 20:59:06","2017:06:23 04:59:47","15010512.","2401","CANTON",,"48207",
"/Volumes/KD/Vernor4/G0114035.JPG","G0114035.JPG",-83.011394,42.3568672,154.835,"2017:06:23 20:59:08","2017:06:23 04:59:49","15010512.","2401","CANTON",,"48207",
"/Volumes/KD/Vernor4/G0114036.JPG","G0114036.JPG",-83.0115248,42.3568234,154.752,"2017:06:23 20:59:10","2017:06:23 04:59:51","15010512.","2401","CANTON",,"48207",
"/Volumes/KD/Vernor3/G0113853.JPG","G0113853.JPG",-82.9972582,42.3621569,154.218,"2017:06:23 20:53:04","2017:06:23 04:53:45","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113854.JPG","G0113854.JPG",-82.9973489,42.3621289,153.829,"2017:06:23 20:53:06","2017:06:23 04:53:47","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113855.JPG","G0113855.JPG",-82.9974475,42.362098,152.793,"2017:06:23 20:53:08","2017:06:23 04:53:49","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113856.JPG","G0113856.JPG",-82.9975533,42.3620553,151.93,"2017:06:23 20:53:10","2017:06:23 04:53:51","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113857.JPG","G0113857.JPG",-82.9976456,42.3620139,152.101,"2017:06:23 20:53:12","2017:06:23 04:53:53","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113858.JPG","G0113858.JPG",-82.997725,42.3619776,151.938,"2017:06:23 20:53:14","2017:06:23 04:53:55","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113859.JPG","G0113859.JPG",-82.9978199,42.3619473,151.016,"2017:06:23 20:53:16","2017:06:23 04:53:57","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113860.JPG","G0113860.JPG",-82.9979118,42.3619106,150.437,"2017:06:23 20:53:18","2017:06:23 04:53:59","17007522.","2411","IROQUOIS",,"48214","CORNERSTONE SCHOOL"
"/Volumes/KD/Vernor3/G0113861.JPG","G0113861.JPG",-82.9980074,42.3618693,150.222,"2017:06:23 20:53:20","2017:06:23 04:54:01","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113862.JPG","G0113862.JPG",-82.9981055,42.3618288,150.421,"2017:06:23 20:53:22","2017:06:23 04:54:03","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113863.JPG","G0113863.JPG",-82.9981965,42.3617937,150.436,"2017:06:23 20:53:24","2017:06:23 04:54:05","17007600.","2404","SEMINOLE",,"48214",
